feature,fscore
app_normal_card_ttl_cnt,1
app_ttl_auto_loan_camt_lst24mth,1
app_max_farm_loan_delq_6mth,1
app_ttl_auto_loan_bal_lst6mth,1
app_max_mtg_loan_delq_6mth,1
app_ttl_cons_loan_cnt_lst12mth,1
app_ttl_cons_loan_camt_lst3mth,1
app_max_card_delq_6mth,1
app_loan_cnt_ever_2p_del_lst24mth,1
app_loan_history,1
app_quasi_history,1
app_worst_loan_five_rate_is_2,1
app_ttl_busi_loan_bal_lst6mth,1
app_ttl_auto_loan_camt_lst12mth,1
app_nonc_consum_loan_bal,1
app_ttl_other_loan_camt_lst6mth,1
app_ttl_farm_loan_bal_lst6mth,1
app_ttl_loan_cnt_lst24mth,1
app_ttl_loan_camt_lst3mth,1
app_ttl_farm_loan_camt_lst12mth,1
app_max_loan_delq_6mth,1
app_ttl_busi_loan_camt_lst6mth,1
app_max_mtg_loan_delq_24mth,1
app_ttl_cons_loan_camt_lst12mth,1
app_card_ttl_odamt,1
app_loan_noap_cnt_lst1mth,1
app_card_max_e1p_del_lst24mth,1
app_card_cnt_ever_1p_del_lst24mth,1
app_ttl_cons_loan_camt_lst9mth,1
app_card_inq_cnt_lst2mth,1
app_nonc_farm_loan_bal,1
app_nonc_loan_bal,2
app_card_history,2
app_loan_ttl_odamt,2
app_card_noap_cnt_lst1mth,2
app_loan_cnt_ever_1p_del_lst12mth,2
app_card_inq_cnt_lst1mth,2
app_ttl_other_loan_camt_lst24mth,2
app_ttl_farm_loan_bal_lst12mth,2
app_ttl_card_cnt_lst12mth,2
app_nonc_other_loan_amt,2
app_ttl_cons_loan_camt_lst24mth,2
app_card_cnt_ever_2p_del_lst6mth,2
app_ttl_loan_bal_lst6mth,2
app_ttl_loan_cnt_lst9mth,2
app_nonc_loan_cnt,2
app_card_cnt_ever_1p_del_lst12mth,2
app_max_auto_loan_delq_24mth,2
app_ttl_loan_bal_lst9mth,2
app_ttl_card_bal_lst3mth,2
app_ttl_cons_loan_bal_lst9mth,2
app_ttl_busi_loan_bal_lst12mth,2
app_ttl_card_dueamt,2
app_card_epd_flag,3
app_ttl_loan_bal_lst24mth,3
app_nonc_consum_loan_amt,3
app_ttl_other_loan_camt_lst12mth,3
app_loan_inq_cnt_lst1mth,3
app_ttl_cons_loan_bal_lst3mth,3
app_card_cnt_ever_1p_del_lst6mth,3
app_ttl_farm_loan_camt_lst24mth,3
app_ttl_card_cnt_lst24mth,3
app_loan_count_n_M24,3
app_ttl_farm_loan_cnt_lst24mth,3
app_ttl_card_bal_lst6mth,3
app_normal_card_ttl_bal,3
app_ttl_cons_loan_bal_lst6mth,4
app_max_cons_loan_delq_24mth,4
app_max_cons_loan_delq_6mth,4
app_ttl_loan_camt_lst12mth,4
app_nonc_other_loan_bal,4
app_loan_cnt_ever_1p_del_lst24mth,4
app_gua_loan_ttl_amt,4
app_ttl_loan_camt_lst24mth,5
app_ttl_other_loan_bal_lst9mth,5
app_loan_max_e1p_del_lst12mth,5
app_max_cons_loan_delq_12mth,5
app_ttl_card_line_lst6mth,6
app_loan_inq_cnt_lst3mth,6
app_loan_cnt_ever_1p_del_lst6mth,6
app_nonc_loan_amt,6
app_loan_noap_cnt_lst6mth,6
open_date_loan_length,6
app_ttl_card_bal_lst12mth,7
app_card_noap_cnt_lst3mth,7
app_all_inq_lst3mth,7
app_card_count_n_M24,7
app_loan_max_odamt,7
app_loan_max_e1p_del_lst24mth,8
app_max_farm_loan_delq_12mth,8
app_card_max_e1p_del_lst12mth,8
app_loan_noap_cnt_lst3mth,8
app_ttl_card_line_lst9mth,8
app_loan_inq_cnt_lst6mth,8
app_ttl_card_line_lst12mth,8
app_loan_epd_flag,9
app_ttl_other_loan_bal_lst24mth,9
app_ttl_card_bal_lst24mth,9
app_card_max_odamt,9
missValue_rate,10
app_ttl_loan_bal_lst12mth,10
app_card_noap_cnt_lst6mth,12
app_ttl_cons_loan_bal_lst12mth,12
app_ttl_card_bal_lst9mth,13
app_loan_noap_cnt_lst12mth,15
app_ttl_cons_loan_bal_lst24mth,16
app_ttl_loan_dueamt,16
open_date_card_length,18
app_card_noap_cnt_ls12mth,18
app_normal_card_ttl_line,19
app_loan_inq_cnt_lst12mth,21
applymonth,23
app_good_card_max_history,27
