feature,fscore
app_loan_max_e1p_del_lst12mth,1
app_ttl_other_loan_bal_lst9mth,1
app_nonc_other_loan_bal,1
app_all_inq_lst3mth,1
app_ttl_loan_dueamt,1
app_max_cons_loan_delq_12mth,1
app_card_max_e1p_del_lst12mth,1
app_ttl_cons_loan_camt_lst6mth,1
app_card_noap_cnt_lst1mth,1
app_loan_count_n_M24,1
app_ttl_loan_bal_lst6mth,1
app_max_cons_loan_delq_6mth,1
app_loan_inq_cnt_lst6mth,1
app_loan_inq_cnt_lst2mth,1
app_ttl_farm_loan_camt_lst24mth,1
app_ttl_other_loan_bal_lst12mth,1
app_loan_max_odamt,1
app_ttl_loan_bal_lst3mth,1
app_ttl_loan_camt_lst24mth,1
app_loan_cnt_ever_1p_del_lst12mth,1
open_date_loan_length,1
app_max_cons_loan_delq_24mth,1
app_nonc_loan_bal,1
app_card_noap_cnt_lst6mth,1
applymonth,2
app_loan_cnt_ever_1p_del_lst24mth,2
app_loan_noap_cnt_lst6mth,2
app_normal_card_ttl_line,2
app_card_max_odamt,2
app_loan_inq_cnt_lst3mth,3
app_loan_noap_cnt_lst12mth,3
app_ttl_cons_loan_bal_lst24mth,3
app_card_noap_cnt_ls12mth,4
app_ttl_cons_loan_bal_lst12mth,5
app_loan_epd_flag,5
app_good_card_max_history,5
app_loan_inq_cnt_lst12mth,8
