VAR_TYPE,含义
app_all_inq_lst3mth,暂缺-之后补充
app_card_cnt_ever_1p_del_lst12mth,主贷人过去12个月逾期期数（曾经）达到过或超过过1期的贷记卡总张数
app_card_cnt_ever_1p_del_lst24mth,主贷人过去24个月逾期期数（曾经）达到过或超过过1期的贷记卡总张数
app_card_cnt_ever_1p_del_lst6mth,主贷人过去6个月逾期期数（曾经）达到过或超过过1期的贷记卡总张数
app_card_cnt_ever_2p_del_lst12mth,主贷人过去12个月逾期期数（曾经）达到过或超过过2期的贷记卡总张数
app_card_cnt_ever_2p_del_lst24mth,主贷人过去24个月逾期期数（曾经）达到过或超过过2期的贷记卡总张数
app_card_cnt_ever_2p_del_lst6mth,主贷人过去6个月逾期期数（曾经）达到过或超过过2期的贷记卡总张数
app_card_cnt_ever_3p_del_lst12mth,主贷人过去12个月逾期期数（曾经）达到过或超过过3期的贷记卡总张数
app_card_cnt_ever_3p_del_lst24mth,主贷人过去24个月逾期期数（曾经）达到过或超过过3期的贷记卡总张数
app_card_cnt_ever_3p_del_lst6mth,主贷人过去6个月逾期期数（曾经）达到过或超过过3期的贷记卡总张数
app_card_cnt_ever_4p_del_lst12mth,主贷人过去12个月逾期期数（曾经）达到过或超过过4期的贷记卡总张数
app_card_cnt_ever_4p_del_lst24mth,主贷人过去24个月逾期期数（曾经）达到过或超过过4期的贷记卡总张数
app_card_cnt_ever_4p_del_lst6mth,主贷人过去6个月逾期期数（曾经）达到过或超过过4期的贷记卡总张数
app_card_count_n_M24,主贷人贷记卡24月状态中N的个数
app_card_epd_flag,主贷人最近6个月发放的贷记卡出现的最高逾期期数
app_card_history,主贷人最早一张贷记卡开卡日期距今的月份数
app_card_inq_cnt_lst12mth,主贷人过去12个月信用卡审批查询的次数
app_card_inq_cnt_lst1mth,主贷人过去1个月信用卡审批查询的次数
app_card_inq_cnt_lst2mth,主贷人过去2个月信用卡审批查询的次数
app_card_inq_cnt_lst3mth,主贷人过去3个月信用卡审批查询的次数
app_card_inq_cnt_lst6mth,主贷人过去6个月信用卡审批查询的次数
app_card_max_e1p_del_lst12mth,"主贷人各张贷记卡过去12个月逾期期数（曾经）达到过或超过过1期的最高次数
"
app_card_max_e1p_del_lst24mth,"主贷人各张贷记卡过去24个月逾期期数（曾经）达到过或超过过1期的最高次数
"
app_card_max_e2p_del_lst12mth,"主贷人各张贷记卡过去12个月逾期期数（曾经）达到过或超过过2期的最高次数
"
app_card_max_e2p_del_lst24mth,"主贷人各张贷记卡过去24个月逾期期数（曾经）达到过或超过过2期的最高次数
"
app_card_max_odamt,主贷人各张贷记卡中当前逾期金额的最高值
app_card_max_odamt_2p,主贷人各张贷记卡中当前逾期期数>=2当前逾期金额的最高值
app_card_max_odamt_3p,主贷人各张贷记卡中当前逾期期数>=3当前逾期金额的最高值
app_card_max_odamt_4p,主贷人各张贷记卡中当前逾期期数>=3当前逾期金额的最高值
app_card_noap_cnt_ls12mth,主贷人过去12个月信用卡审批查询且目前还未批复的次数
app_card_noap_cnt_lst1mth,主贷人过去1个月信用卡审批查询且目前还未批复的次数
app_card_noap_cnt_lst3mth,主贷人过去3个月信用卡审批查询且目前还未批复的次数
app_card_noap_cnt_lst6mth,主贷人过去6个月信用卡审批查询且目前还未批复的次数
app_card_ttl_frozen_amt,主贷人贷记卡冻结总金额
app_card_ttl_frozen_cnt,主贷人贷记卡冻结笔数
app_card_ttl_loss_amt,主贷人贷记卡呆账总金额
app_card_ttl_loss_cnt,主贷人贷记卡呆账笔数
app_card_ttl_odamt,主贷人贷款当前逾期总金额
app_card_ttl_odamt_2p,主贷人贷款当前逾期期数>=2的逾期总金额
app_card_ttl_odamt_3p,主贷人贷款当前逾期期数>=3的逾期总金额
app_card_ttl_odamt_4p,主贷人贷款当前逾期期数>=3的逾期总金额
app_card_ttl_stop_amt,主贷人贷记卡止付总金额
app_card_ttl_stop_cnt,主贷人贷记卡止付笔数
app_ext_amt_lst12mth,主贷人最近12个月发生的展期交易总金额
app_ext_cnt_lst12mth,主贷人最近12个月发生的展期交易笔数
app_good_card_max_history,主贷人各张使用中的贷记卡中状态正常，且无任何逾期记录的卡的开卡最长的历史记录
app_gua_card_ttl_amt,主贷人对外担保的信用卡的总担保金额
app_gua_card_ttl_bal,主贷人对外担保的信用卡的已用额度
app_gua_card_ttl_cnt,主贷人对外担保的信用卡的张数 
app_gua_inq_cnt_lst12mth,主贷人过去12个月担保资格审批查询的次数
app_gua_loan_ttl_amt,主贷人对外担保的贷款的总担保金额
app_gua_loan_ttl_bal,主贷人对外担保的贷款的本金余额
app_gua_loan_ttl_cnt,主贷人对外担保的贷款的笔数
app_gua_nonc_loan_ttl_amt,主贷人对外担保的贷款有余额的总担保金额
app_gua_nonc_loan_ttl_bal,主贷人对外担保的贷款有余额的本金余额
app_gua_nonc_loan_ttl_cnt,主贷人对外担保的贷款有余额的笔数
app_gua_worst_five_grade_is_1, 
app_gua_worst_five_grade_is_2, 
app_gua_worst_five_grade_is_3, 
app_gua_worst_five_grade_is_4, 
app_gua_worst_five_grade_is_5, 
app_gua_worst_five_grade_is_6, 
app_gua_worst_five_grade_is_7, 
app_loan_cnt_ever_1p_del_lst12mth,主贷人过去12个月逾期期数（曾经）达到过或超过过1期的贷款总笔数
app_loan_cnt_ever_1p_del_lst24mth,主贷人过去24个月逾期期数（曾经）达到过或超过过1期的贷款总笔数
app_loan_cnt_ever_1p_del_lst6mth,主贷人过去6个月逾期期数（曾经）达到过或超过过1期的贷款总笔数
app_loan_cnt_ever_2p_del_lst12mth,主贷人过去12个月逾期期数（曾经）达到过或超过过2期的贷款总笔数
app_loan_cnt_ever_2p_del_lst24mth,主贷人过去24个月逾期期数（曾经）达到过或超过过2期的贷款总笔数
