applycd,APPLYDATE,EVER60_LABEL
BAH0271701001897,2017/1/3,0
BAH0271701005206,2017/1/4,0
BAH0271701007789,2017/1/5,0
BAH0271701010758,2017/1/6,0
BAH0271701011620,2017/1/8,0
BAH0271701015468,2017/1/10,0
BAH0271701018295,2017/1/11,0
BAH0271701031499,2017/1/17,0
BAH0271701033479,2017/1/17,0
BAH0271701034171,2017/1/18,0
BAH0271701044429,2017/1/23,0
BAH0271701048852,2017/1/24,0
BAH0271702021431,2017/2/17,0
BAH0591701000194,2017/1/1,0
BAH0591701000222,2017/1/1,0
BAH0591701000667,2017/1/2,0
BAH0591701000908,2017/1/2,0
BAH0591701001510,2017/1/3,0
BAH0591701003821,2017/1/3,0
BAH0591701004806,2017/1/4,0
BAH0591701006209,2017/1/4,0
BAH0591701007961,2017/1/5,0
BAH0591701009644,2017/1/6,0
BAH0591701010004,2017/1/6,0
BAH0591701010901,2017/1/6,0
BAH0591701012387,2017/1/8,0
BAH0591701014414,2017/1/9,0
BAH0591701015901,2017/1/10,0
BAH0591701017476,2017/1/10,0
BAH0591701022716,2017/1/12,0
BAH0591701022859,2017/1/13,0
BAH0591701023385,2017/1/13,0
BAH0591701024051,2017/1/13,0
BAH0591701027035,2017/1/15,0
BAH0591701028863,2017/1/17,0
BAH0591701028992,2017/1/16,0
BAH0591701029748,2017/1/16,0
BAH0591701030151,2017/1/16,0
BAH0591701030318,2017/1/17,0
BAH0591701032218,2017/1/17,0
BAH0591701033917,2017/1/17,0
BAH0591701039784,2017/1/20,0
BAH0591701046840,2017/1/23,0
BAH0591702001424,2017/2/3,0
BAH0591702003722,2017/2/5,0
BAH0591702009377,2017/2/8,0
BAH0591702013107,2017/2/12,0
BAH0591702015800,2017/2/13,0
BAH1211612342560,2017/1/3,0
BAH1211701001976,2017/1/3,0
BAH1211701001977,2017/1/3,0
BAH1211701001983,2017/1/3,0
BAH1211701002071,2017/1/3,0
BAH1211701002164,2017/1/3,0
BAH1211701002380,2017/1/3,0
BAH1211701002548,2017/1/3,0
BAH1211701002674,2017/1/3,0
BAH1211701003012,2017/1/3,0
BAH1211701003037,2017/1/5,0
BAH1211701003123,2017/1/3,0
BAH1211701003206,2017/1/3,0
BAH1211701003305,2017/1/3,0
BAH1211701003349,2017/1/3,0
BAH1211701003538,2017/1/3,0
BAH1211701003685,2017/1/3,0
BAH1211701003928,2017/1/3,0
BAH1211701004099,2017/1/3,1
BAH1211701004205,2017/1/3,0
BAH1211701004322,2017/1/3,0
BAH1211701005013,2017/1/4,0
BAH1211701005203,2017/1/4,0
BAH1211701005620,2017/1/4,0
BAH1211701005644,2017/1/4,0
BAH1211701005698,2017/1/4,0
BAH1211701005730,2017/1/4,0
BAH1211701006014,2017/1/4,0
